,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:05:36.852555,Trump,51.8,6506,Harris,47.2,5922,100
2024-10-07 13:05:52.093041,Trump,51.8,6506,Harris,47.2,5922,100
2024-10-07 13:06:07.666134,Trump,51.8,6506,Harris,47.2,5922,100
2024-10-07 13:06:23.041600,Trump,51.8,6506,Harris,47.2,5922,100
2024-10-07 13:06:38.885661,Trump,51.8,6506,Harris,47.2,5922,100
2024-10-07 13:06:55.218727,Trump,51.8,6506,Harris,47.2,5922,100
