,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:05:36.665895,Trump,69.9,28906,Harris,28.8,11917,100
2024-10-07 13:05:51.869141,Trump,69.9,28906,Harris,28.8,11917,100
2024-10-07 13:06:07.314480,Trump,69.9,28906,Harris,28.8,11917,100
2024-10-07 13:06:22.835284,Trump,69.9,28906,Harris,28.8,11917,100
2024-10-07 13:06:38.693034,Trump,69.9,28906,Harris,28.8,11917,100
2024-10-07 13:06:54.996199,Trump,69.9,28906,Harris,28.8,11917,100
