,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:05:36.829547,Trump,70.3,8231,Harris,28.6,3353,100
2024-10-07 13:05:52.068999,Trump,70.3,8231,Harris,28.6,3353,100
2024-10-07 13:06:07.643794,Trump,70.3,8231,Harris,28.6,3353,100
2024-10-07 13:06:23.012255,Trump,70.3,8231,Harris,28.6,3353,100
2024-10-07 13:06:38.871216,Trump,70.3,8231,Harris,28.6,3353,100
2024-10-07 13:06:55.184888,Trump,70.3,8231,Harris,28.6,3353,100
