,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:05:36.917558,Harris,59.4,1182,Trump,40.2,801,100
2024-10-07 13:05:52.165138,Harris,59.4,1182,Trump,40.2,801,100
2024-10-07 13:06:07.728104,Harris,59.4,1182,Trump,40.2,801,100
2024-10-07 13:06:23.102061,Harris,59.4,1182,Trump,40.2,801,100
2024-10-07 13:06:38.970468,Harris,59.4,1182,Trump,40.2,801,100
2024-10-07 13:06:55.294134,Harris,59.4,1182,Trump,40.2,801,100
