,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:05:36.707883,Trump,81.4,16637,Harris,17.4,3562,100
2024-10-07 13:05:51.915675,Trump,81.4,16637,Harris,17.4,3562,100
2024-10-07 13:06:07.419199,Trump,81.4,16637,Harris,17.4,3562,100
2024-10-07 13:06:22.869203,Trump,81.4,16637,Harris,17.4,3562,100
2024-10-07 13:06:38.718430,Trump,81.4,16637,Harris,17.4,3562,100
2024-10-07 13:06:55.041559,Trump,81.4,16637,Harris,17.4,3562,100
