,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:05:36.451303,Trump,72.9,2300,Harris,26.1,825,100
2024-10-07 13:05:51.617879,Trump,72.9,2300,Harris,26.1,825,100
2024-10-07 13:06:07.109483,Trump,72.9,2300,Harris,26.1,825,100
2024-10-07 13:06:22.635313,Trump,72.9,2300,Harris,26.1,825,100
2024-10-07 13:06:38.463385,Trump,72.9,2300,Harris,26.1,825,100
2024-10-07 13:06:54.786214,Trump,72.9,2300,Harris,26.1,825,100
