,Datetime_Extraction,Total_Votes,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Additional_Votes_Since_Last_Update,Additional_Trump_Votes_Since_Last_Update,Additional_Harris_Votes_Since_Last_Update,Pct_New_Votes_For_Trump,Pct_New_Votes_For_Harris
123,2024-11-05 22:08:08.959811,1726323.00,1087753.00,61.00,638570.00,36.00,47.98,12614.00,7341.00,5273.00,58.20,41.80
124,2024-11-05 22:09:27.428605,1732764.00,1094998.00,61.00,637766.00,36.00,48.20,6441.00,-804.00,7245.00,-12.48,112.48
125,2024-11-05 22:10:10.850838,1734098.00,1096020.00,61.00,638078.00,35.00,48.24,1334.00,312.00,1022.00,23.39,76.61
282,2024-11-06 11:18:32.167792,3229424.00,2027302.00,61.00,1202122.00,36.00,95.69,3877.00,2219.00,1658.00,57.23,42.77
283,2024-11-06 11:23:00.531204,3229456.00,2027643.00,61.00,1201813.00,36.00,95.69,32.00,-309.00,341.00,-965.62,1065.62
284,2024-11-06 11:29:53.237862,3231391.00,2028520.00,61.00,1202871.00,36.00,95.74,1935.00,1058.00,877.00,54.68,45.32
289,2024-11-06 13:14:52.265981,3258444.00,2045738.00,61.00,1212706.00,36.00,96.60,86.00,38.00,48.00,44.19,55.81
290,2024-11-06 15:24:27.893515,3256183.00,2045738.00,61.00,1210445.00,36.00,96.53,-2261.00,-2261.00,0.00,100.00,-0.00
291,2024-11-06 15:47:38.964016,3266330.00,2050934.00,61.00,1215396.00,36.00,96.90,10147.00,4951.00,5196.00,48.79,51.21
297,2024-11-07 10:02:50.084292,3307922.00,2073389.00,61.00,1234533.00,36.00,98.25,621.00,0.00,621.00,0.00,100.00
298,2024-11-07 11:45:51.566572,3306450.00,2072164.00,61.00,1234286.00,36.00,98.49,-1472.00,-247.00,-1225.00,16.78,83.22
299,2024-11-07 11:47:39.050139,3306598.00,2072278.00,61.00,1234320.00,36.00,98.50,148.00,34.00,114.00,22.97,77.03
303,2024-11-07 15:48:18.982299,3306785.00,2072414.00,61.00,1234371.00,36.00,98.98,173.00,45.00,128.00,26.01,73.99
304,2024-11-08 08:20:48.378446,3306753.00,2072073.00,61.00,1234680.00,36.00,98.98,-32.00,309.00,-341.00,-965.62,1065.62
305,2024-11-08 11:19:52.697489,3307070.00,2072291.00,61.00,1234779.00,36.00,98.98,317.00,99.00,218.00,31.23,68.77
