,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.008341,Trump,63.0,16611,Harris,35.5,9370,100
2024-10-07 13:19:02.807859,Trump,63.0,16611,Harris,35.5,9370,100
2024-10-07 13:19:11.399853,Trump,63.0,16611,Harris,35.5,9370,100
2024-10-07 13:19:19.974218,Trump,63.0,16611,Harris,35.5,9370,100
2024-10-07 13:19:28.557811,Trump,63.0,16611,Harris,35.5,9370,100
2024-10-07 13:19:36.995166,Trump,63.0,16611,Harris,35.5,9370,100
2024-10-07 13:19:46.673545,Trump,63.0,16611,Harris,35.5,9370,100
2024-10-07 13:19:56.174004,Trump,63.0,16611,Harris,35.5,9370,100
2024-10-07 13:20:05.323619,Trump,63.0,16611,Harris,35.5,9370,100
2024-10-07 13:20:15.236949,Trump,63.0,16611,Harris,35.5,9370,100
2024-10-07 13:20:24.261352,Trump,63.0,16611,Harris,35.5,9370,100
