,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported
2024-11-06 03:48:45.636762,933120,55.000,718579,42.000,71.860
2024-11-06 03:49:12.229855,933120,55.000,718579,42.000,71.860
2024-11-06 03:49:30.809170,933120,55.000,718579,42.000,71.860
2024-11-06 03:49:51.613627,933120,55.000,718579,42.000,71.860
2024-11-06 03:50:12.936850,933120,55.000,718579,42.000,71.860
2024-11-06 03:50:42.565037,933120,55.000,718579,42.000,73.670
2024-11-06 03:51:07.824865,933120,55.000,718579,42.000,73.670
2024-11-06 03:51:26.269363,933120,55.000,718579,42.000,73.670
2024-11-06 03:51:51.802148,933120,55.000,718579,42.000,73.680
2024-11-06 03:52:15.402990,933120,55.000,718579,42.000,73.680
2024-11-06 03:52:40.675771,933120,55.000,718579,42.000,73.680
2024-11-06 03:53:05.256986,933120,55.000,718579,42.000,73.620
2024-11-06 03:53:24.145735,933120,55.000,718579,42.000,73.620
2024-11-06 03:53:46.299372,933120,55.000,718579,42.000,73.620
2024-11-06 03:54:06.536026,933120,55.000,718579,42.000,73.620
2024-11-06 03:54:25.701364,933120,55.000,718579,42.000,73.670
2024-11-06 03:54:45.106901,933120,55.000,718579,42.000,73.670
2024-11-06 03:55:01.612874,933120,55.000,718579,42.000,73.670
2024-11-06 03:55:21.268417,933120,55.000,718579,42.000,73.670
2024-11-06 03:55:38.579960,933120,55.000,718579,42.000,73.670
2024-11-06 03:56:06.214592,933120,55.000,718579,42.000,73.670
2024-11-06 03:56:26.586717,933120,55.000,718579,42.000,73.680
2024-11-06 03:56:53.218270,933120,55.000,718579,42.000,73.700
2024-11-06 03:57:15.431119,933120,55.000,718579,42.000,73.700
2024-11-06 03:57:40.507112,933120,55.000,718579,42.000,73.700
2024-11-06 03:58:09.825348,933120,55.000,718579,42.000,72.270
2024-11-06 03:58:29.993440,933120,55.000,718579,42.000,72.270
2024-11-06 03:58:53.999270,933120,55.000,718579,42.000,72.270
2024-11-06 03:59:21.179116,933120,55.000,718579,42.000,72.270
2024-11-06 03:59:41.319205,933120,55.000,718579,42.000,72.270
2024-11-06 04:00:00.125443,933120,55.000,718579,42.000,72.270
2024-11-06 04:00:17.910657,933120,55.000,718579,42.000,72.270
2024-11-06 04:00:34.289953,933120,55.000,718579,42.000,72.270
2024-11-06 04:00:52.692895,933120,55.000,718579,42.000,72.270
2024-11-06 04:01:11.605109,933120,55.000,718579,42.000,72.270
2024-11-06 04:01:41.080593,933120,55.000,718579,42.000,72.270
2024-11-06 04:02:01.668821,933120,55.000,718579,42.000,72.270
2024-11-06 04:02:23.204559,933120,55.000,718579,42.000,72.270
2024-11-06 04:02:54.258495,933120,55.000,718579,42.000,72.270
2024-11-06 04:03:18.730297,933120,55.000,718579,42.000,72.270
2024-11-06 04:03:35.437427,933120,55.000,718579,42.000,72.270
2024-11-06 04:03:59.092529,933120,55.000,718579,42.000,72.270
2024-11-06 04:04:15.367673,933120,55.000,718579,42.000,72.270
2024-11-06 04:04:32.612219,933120,55.000,718579,42.000,72.270
2024-11-06 04:04:52.349060,933120,55.000,718579,42.000,72.270
2024-11-06 04:05:15.144542,936620,54.000,722207,42.000,72.590
2024-11-06 04:05:38.029467,936620,54.000,722207,42.000,72.590
2024-11-06 04:05:59.873004,936620,54.000,722207,42.000,72.590
2024-11-06 04:06:21.575572,936620,54.000,722207,42.000,72.590
2024-11-06 04:06:48.295970,936620,54.000,722207,42.000,72.590
2024-11-06 04:07:06.197100,936620,54.000,722207,42.000,72.590
2024-11-06 04:07:32.133053,936620,54.000,722207,42.000,72.590
2024-11-06 04:07:49.246144,936620,54.000,722207,42.000,72.590
2024-11-06 04:08:13.139445,936620,54.000,722207,42.000,72.590
2024-11-06 04:08:39.485207,936620,54.000,722207,42.000,72.590
2024-11-06 04:09:02.859462,936620,54.000,722207,42.000,72.590
2024-11-06 04:09:31.365148,936620,54.000,722207,42.000,72.590
2024-11-06 04:09:56.994651,936620,54.000,722207,42.000,72.590
2024-11-06 04:10:13.184990,936620,54.000,722207,42.000,72.590
2024-11-06 04:10:39.900319,936620,54.000,722207,42.000,72.590
2024-11-06 04:11:04.749072,936620,54.000,722207,42.000,72.590
2024-11-06 04:11:20.204260,936620,54.000,722207,42.000,72.590
2024-11-06 04:11:47.041074,936620,54.000,722207,42.000,72.590
2024-11-06 04:12:10.391711,936620,54.000,722207,42.000,72.590
2024-11-06 04:12:31.005405,936620,54.000,722207,42.000,72.590
2024-11-06 04:12:58.347227,936620,54.000,722207,42.000,72.590
2024-11-06 04:13:29.042712,936620,54.000,722207,42.000,72.590
2024-11-06 04:13:55.384592,936620,54.000,722207,42.000,72.590
2024-11-06 04:14:16.505514,936620,54.000,722207,42.000,72.590
2024-11-06 04:14:37.632532,936620,54.000,722207,42.000,72.590
2024-11-06 04:15:04.187174,936620,54.000,722207,42.000,72.590
2024-11-06 04:15:28.601566,936620,54.000,722207,42.000,72.590
2024-11-06 04:15:47.371137,936620,54.000,722207,42.000,72.590
2024-11-06 04:16:07.250831,936620,54.000,722207,42.000,72.590
