Datetime_Extraction,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported
2024-11-05 13:57:33.481434,3,50.000,3,50.000,0.000
2024-11-05 13:58:04.304591,3,50.000,3,50.000,0.000
2024-11-05 13:58:30.162718,3,50.000,3,50.000,0.000
2024-11-05 13:58:51.464318,3,50.000,3,50.000,0.000
2024-11-05 13:59:17.232756,3,50.000,3,50.000,0.000
2024-11-05 13:59:35.278240,3,50.000,3,50.000,0.000
2024-11-05 13:59:58.608434,3,50.000,3,50.000,0.000
2024-11-05 14:00:19.029316,3,50.000,3,50.000,0.000
2024-11-05 14:00:32.627638,3,50.000,3,50.000,0.000
2024-11-05 14:00:48.759427,3,50.000,3,50.000,0.000
2024-11-05 14:01:13.629643,3,50.000,3,50.000,0.000
2024-11-05 14:01:30.580935,3,50.000,3,50.000,0.000
2024-11-05 14:01:56.564183,3,50.000,3,50.000,0.000
2024-11-05 14:02:16.386830,3,50.000,3,50.000,0.000
2024-11-05 14:02:32.366860,3,50.000,3,50.000,0.000
2024-11-05 14:02:57.308267,3,50.000,3,50.000,0.000
2024-11-05 14:03:10.418702,3,50.000,3,50.000,0.000
2024-11-05 14:03:30.785732,3,50.000,3,50.000,0.000
2024-11-05 14:03:55.244656,3,50.000,3,50.000,0.000
2024-11-05 14:04:21.204821,3,50.000,3,50.000,0.000
2024-11-05 14:04:41.270348,3,50.000,3,50.000,0.000
2024-11-05 14:04:58.175943,3,50.000,3,50.000,0.000
2024-11-05 14:05:12.634263,3,50.000,3,50.000,0.000
2024-11-05 14:05:33.443018,3,50.000,3,50.000,0.000
2024-11-05 14:05:54.230387,3,50.000,3,50.000,0.000
2024-11-05 14:06:18.463260,3,50.000,3,50.000,0.000
2024-11-05 14:06:36.076194,3,50.000,3,50.000,0.000
2024-11-05 14:06:49.887014,3,50.000,3,50.000,0.000
2024-11-05 14:07:04.841673,3,50.000,3,50.000,0.000
2024-11-05 14:07:25.929689,3,50.000,3,50.000,0.000
2024-11-05 14:07:47.469902,3,50.000,3,50.000,0.000
2024-11-05 14:08:00.825315,3,50.000,3,50.000,0.000
2024-11-05 14:08:26.381800,3,50.000,3,50.000,0.000
2024-11-05 14:08:40.405465,3,50.000,3,50.000,0.000
2024-11-05 14:08:56.733403,3,50.000,3,50.000,0.000
2024-11-05 14:09:18.202837,3,50.000,3,50.000,0.000
2024-11-05 14:09:31.889378,3,50.000,3,50.000,0.000
2024-11-05 14:09:58.049251,3,50.000,3,50.000,0.000
2024-11-05 14:10:15.663826,3,50.000,3,50.000,0.000
2024-11-05 14:10:41.578075,3,50.000,3,50.000,0.000
2024-11-05 14:10:56.003855,3,50.000,3,50.000,0.000
