,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:14:36.161365,Trump,75.0,25458,Harris,24.0,8129,100
2024-10-07 13:14:48.128507,Trump,75.0,25458,Harris,24.0,8129,100
2024-10-07 13:14:59.287367,Trump,75.0,25458,Harris,24.0,8129,100
2024-10-07 13:15:10.512919,Trump,75.0,25458,Harris,24.0,8129,100
2024-10-07 13:15:22.109365,Trump,75.0,25458,Harris,24.0,8129,100
2024-10-07 13:15:32.983888,Trump,75.0,25458,Harris,24.0,8129,100
2024-10-07 13:15:43.910554,Trump,75.0,25458,Harris,24.0,8129,100
2024-10-07 13:15:55.470903,Trump,75.0,25458,Harris,24.0,8129,100
2024-10-07 13:16:06.993874,Trump,75.0,25458,Harris,24.0,8129,100
